HomeTeam,AwayTeam,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Arsenal,Leicester,H,0,0,M,M,M,M,M,M,0,0,0,-6
Chelsea,Sunderland,H,0,0,M,M,M,M,M,M,0,0,0,-2
Coventry,Southampton,NH,0,0,M,M,M,M,M,M,0,0,0,-1
Leeds,Derby,NH,0,0,M,M,M,M,M,M,0,0,0,-13
Middlesbrough,Bradford,NH,0,0,M,M,M,M,M,M,0,0,0,-5
Newcastle,Aston Villa,NH,0,0,M,M,M,M,M,M,0,0,0,5
Sheffield Weds,Liverpool,NH,0,0,M,M,M,M,M,M,0,0,0,14
Watford,Wimbledon,NH,0,0,M,M,M,M,M,M,0,0,0,2
West Ham,Tottenham,H,0,0,M,M,M,M,M,M,0,0,0,-1
Everton,Man United,NH,0,0,M,M,M,M,M,M,0,0,0,12
Tottenham,Newcastle,H,0,0,L,M,M,L,M,M,-0.5,-0.5,0,-1
Derby,Arsenal,NH,0.5,1.5,D,M,M,W,M,M,0,0.5,-1,14
Sunderland,Watford,H,0,0,L,M,M,L,M,M,-2,-0.5,0,-13
Wimbledon,Middlesbrough,NH,1.5,0,W,M,M,L,M,M,0.5,-0.5,1.5,6
Aston Villa,Everton,H,1.5,0.5,W,M,M,D,M,M,0.5,0,1,-7
Leicester,Coventry,H,0,0,L,M,M,L,M,M,-0.5,-0.5,0,-6
Man United,Sheffield Weds,H,0.5,0,D,M,M,L,M,M,0,-0.5,0.5,-17
Southampton,Leeds,NH,1.5,0.5,W,M,M,D,M,M,0.5,0,1,12
Bradford,Sheffield Weds,NH,1.5,0,W,M,M,L,M,M,0.5,-0.5,1.5,-1
Derby,Middlesbrough,NH,0.5,0,D,M,M,L,M,M,0,-0.5,0.5,4
Leicester,Chelsea,NH,1,1.333333333,W,L,M,D,W,M,0,1.333333333,-0.333333333,3
Liverpool,Watford,NH,1,0,L,W,M,L,L,M,0,-1,1,-16
Man United,Leeds,H,1.333333333,1.333333333,W,D,M,W,D,M,1.333333333,1,0,-2
